a-d-sync	Altos Design Synchronization protocol
net-assistant	Apple Remote Desktop
net2display	Vesa Net2Display
netrestore	NetRestore
newton-dock	Escale
nfs	Network File System - Sun Microsystems
nssocketport	DO over NSSocketPort
ntlx-arch	American Dynamics Intellex Archive Management Service
ntlx-ent	American Dynamics Intellex Enterprise Management Service
ntlx-video	American Dynamics Intellex Video Service
ntp	Network Time Protocol
ntx	Tenasys
obf	Observations Framework
objective	Means for clients to locate servers in an Objective (http://www.objective.com) instance.
oce	Oce Common Exchange Protocol
od-master	OpenDirectory Master
odabsharing	OD4Contact
odisk	Optical Disk Sharing
officetime-sync	OfficeTime Synchronization Protocol
ofocus-conf	OmniFocus setting configuration
ofocus-sync	OmniFocus document synchronization
olpc-activity1	One Laptop per Child activity
oma-bcast-sg	OMA BCAST Service Guide Discovery Service
omni-bookmark	OmniWeb
omni-live	Service for remote control of Omnisphere virtual instrument
openbase	OpenBase SQL
opencu	Conferencing Protocol
oprofile	oprofile server protocol
oscit	Open Sound Control Interface Transfer
ovready	ObjectVideo OV Ready Protocol
owhttpd	OWFS (1-wire file system) web server
owserver	OWFS (1-wire file system) server
parentcontrol	Remote Parental Controls
passwordwallet	PasswordWallet Data Synchronization Protocol
pcast	Mac OS X Podcast Producer Server
p2pchat	Peer-to-Peer Chat (Sample Java Bonjour application)
panoply	Panoply multimedia composite transfer protocol
parabay-p2p	Parabay P2P protocol
parliant	PhoneValet Anywhere
pdl-datastream	Printer Page Description Language Data Stream (vendor-specific)
pgpkey-hkp	Horowitz Key Protocol (HKP)
pgpkey-http	PGP Keyserver using HTTP/1.1
pgpkey-https	PGP Keyserver using HTTPS
pgpkey-ldap	PGP Keyserver using LDAP
pgpkey-mailto	PGP Key submission using SMTP
photoparata	Photo Parata Event Photography Software
pictua	Pictua Intercommunication Protocol
piesync	pieSync Computer to Computer Synchronization
piu	Pedestal Interface Unit by RPM-PSI
poch	Parallel OperatiOn and Control Heuristic (Pooch)
pokeeye	Communication channel for "Poke Eye" Elgato EyeTV remote controller
pop3	Post Office Protocol - Version 3
postgresql	PostgreSQL Server
powereasy-erp	PowerEasy ERP
powereasy-pos	PowerEasy Point of Sale
pplayer-ctrl	Piano Player Remote Control
presence	Peer-to-peer messaging / Link-Local Messaging
print-caps	Retrieve a description of a device's print capabilities
printer	Spooler (more commonly known as "LPR printing" or "LPD printing")
profilemac	Profile for Mac medical practice management software
prolog	Prolog
protonet	Protonet node and service discovery protocol
psap	Progal Service Advertising Protocol
psia	Physical Security Interoperability Alliance Protocol
ptnetprosrv2	PTNetPro Service
ptp	Picture Transfer Protocol
ptp-req	PTP Initiation Request Protocol
puzzle	Protocol used for puzzle games
qbox	QBox Appliance Locator
qttp	QuickTime Transfer Protocol
quinn	Quinn Game Server
rakket	Rakket Client Protocol
radiotag	RadioTAG: Event tagging for radio services
radiovis	RadioVIS: Visualisation for radio services
radioepg	RadioEPG: Electronic Programme Guide for radio services
raop	Remote Audio Output Protocol (AirTunes)
rbr	RBR Instrument Communication
rce	PowerCard
rdp	Windows Remote Desktop Protocol
realplayfavs	RealPlayer Shared Favorites
recipe	Recipe Sharing Protocol
remote	Remote Device Control Protocol
remoteburn	LaCie Remote Burn
renderpipe	ARTvps RenderDrive/PURE Renderer Protocol
rendezvouspong	RendezvousPong
renkara-sync	Renkara synchronization protocol
resacommunity	Community Service
resol-vbus	RESOL VBus
retrospect	Retrospect backup and restore service
rfb	Remote Frame Buffer (used by <a href="http://www.realvnc.com/">VNC</a>)
rfbc	Remote Frame Buffer Client (Used by VNC viewers in listen-mode)
rfid	RFID Reader Mach1(tm) Protocol
riousbprint	Remote I/O USB Printer Protocol
roku-rcp	Roku Control Protocol
rql	RemoteQuickLaunch
rsmp-server	Remote System Management Protocol (Server Instance)
rsync	Rsync
rtsp	Real Time Streaming Protocol
rubygems	RubyGems GemServer
safarimenu	Safari Menu
sallingbridge	Salling Clicker Sharing
